nct_id,title,status,phase,condition,brief_summary,eligibility_criteria,enrollment_count,start_date,completion_date,sponsor,plain_summary,key_eligibility_points
NCT04674501,Radiotherapy for Thoracic and Breast Cancer and the Related Cardiotoxicity Following Treatment (RACCOON),UNKNOWN,,Patients Who Receive Thoracic Irradiation,"The purpose of this study is to investigate the risk factors and mechanisms of cardiotoxicity following thoracic radiotherapy and to provide insights in preventing radiation-related cardiotoxicity. -Condition or disease : Thoracic irradiation -Intervention/treatment : Cardiac evaluation, Blood sampling",Inclusion Criteria: 1. Patients with solid cancer who are subject to thoracic irradiation. 2. Patients who are 20 years old or older 3. Eastern Cooperative Oncology Group Performance Status Scale 0-2 4. Patients with cognitive abilities to receive virtual reality information Exclusion Criteria: 1. Patients with a history of previous thoracic irradiation 2. Patients who refused consent 3. Patients with a history of heart failure before radiotherapy,200,2020-12-22,2022-12,Yonsei University,"This clinical trial is investigating why some people develop heart problems after getting radiation therapy to treat cancer in their chest or breast area. The goal is to understand the risks and identify ways to prevent these heart problems from happening. By studying patients who have received radiation therapy, researchers hope to learn more about how to protect the heart during cancer treatment.","- You must be at least 20 years old and have a solid type of cancer that requires chest or breast area radiation.
- Your overall health should be good enough for you to participate in a clinical trial (score 0-2 on the Eastern Cooperative Oncology Group Performance Status Scale).
- You must not have received radiation therapy to the same area before, and you must be able to give informed consent."
NCT01492101,The BEACON Study (Breast Cancer Outcomes With NKTR-102),COMPLETED,PHASE3,"Locally Recurrent Breast Cancer, Metastatic Breast Cancer","The study is designed as an open-label, randomized, parallel, two arm, multicenter, international Phase 3 study in patients with recurrent or metastatic breast cancer previously treated with cytotoxic chemotherapy regimens. The primary study objective is to compare overall survival of patients who receive NKTR-102 given once every 21 days to patients who receive treatment of Physician's Choice selected from a list of seven single-agent intravenous therapies.","Inclusion Criteria (major highlights): * Patient is an adult female with histologically or cytologically confirmed carcinoma of the breast for whom single-agent cytotoxic chemotherapy is indicated * Patient can have either measurable or non-measurable disease by RECIST. * Patient has received prior therapy (administered in the neoadjuvant, adjuvant and/or metastatic setting) with an anthracycline, a taxane and capecitabine * Patient has minimum of 2 and a maximum of 5 prior cytotoxic chemotherapy regimens with the last dose administered within 6 months. A minimum of two chemotherapy regimens had to be for locally recurrent and/or metastatic disease. All therapy received prior to a diagnosis of metastatic disease (eg, neoadjuvant, adjuvant or repeated adjuvant therapy following a second resection) is counted as one regimen. * Patient has Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1. * Adequate hematopoietic, liver and kidney functions. Exclusion Criteria (major highlights): * Patient with chemotherapy within 21 days, radiotherapy within 14 days, biological therapy with 14 days, hormonal therapy within 7 days and investigational therapy within 21 days prior to randomization. * Patient with any major surgery within 28 days prior to randomization. * Patient with concurrent use of biologic agents for the treatment of cancer including antibodies or any investigational agent(s). * Patient with prior treatment for cancer with a camptothecin derivative. * Patient with chronic or acute GI disorders resulting in diarrhea of any severity grade; patients who are using chronic anti-diarrheal supportive care to control diarrhea in the 28 days prior to randomization. * Patient received pharmacotherapy for hepatitis B or C, tuberculosis or HIV. * Patient with known cirrhosis diagnosed with Child-PUGH Class A or higher liver disease. * Patient with prior malignancy (other than breast cancer) except for non-melanoma skin cancer and carcinoma in situ (of the cervix or bladder), unless diagnosed and definitively treated more than 5 years prior to randomization. * Patient requiring daily use of oxygen supplementation in the 28 days prior to randomization. * Patients with significant cardiovascular impairment.",852,2011-12,2016-06,Nektar Therapeutics,"** The BEACON Study is testing whether a new chemotherapy treatment called NKTR-102 can help people with advanced breast cancer live longer than those who receive other standard treatments. This study aims to compare the overall survival of patients who receive NKTR-102 versus those who receive a different standard treatment chosen by their doctor.

**","**
- You must be an adult female with confirmed breast cancer that has come back or spread.
- Your cancer should have been treated with at least two prior chemotherapy regimens within the last 6 months, and you may have had other treatments like surgery or hormone therapy.
- You should be in good overall health, as measured by your ability to perform daily activities and your physical function."
NCT01483001,Feasibility Study on Stem Cells Sensitivity Assay,COMPLETED,PHASE2,"Lung Cancer, Colorectal Cancer, Breast Cancer","Lung Cancer (LC), colorectal cancer (CRC) and breast cancer (BC) are the major killers in oncology, accounting for about 40% of cancer deaths. Although progresses have been made in the last few years, unfortunately no patient with metastatic disease can obtain a definitive cure. A recent hypothesis is that cancer is driven by a small subpopulation of cells called ""cancer stem cells"" (CSCs) or ""tumor initiating cells"" with an unlimited proliferative potential and the ability to reproduce the original human tumor in experimental animal models. These cells are thought to be responsible for the development of the tumor and represent the only cell population able to sustain tumor growth and progression. Therefore, CSCs represent the elective target for new targeted therapies, endowed with high and selective toxicity towards the tumor but harmless towards normal cells. Current technologies allow us to isolate and expand in vitro the CSCs from tumor specimens, testing their sensitivity to different anticancer drugs in a short period of time. Therefore, there is the potential opportunity to identify LC, CRC and BC CSCs.This is a prospective study assessing feasibility of CSCS isolation in LC, CRC and BC. Patients with a previously performed diagnosis of LC, colon cancer or breast cancer with no further standard therapy options, with a Karnofsky performance status of 100% and with tumor tissue available will be considered eligible for the study. Tumor tissue will be collected before study entry, i.e tissue obtained during a diagnostic or therapeutical procedure, like surgery or biopsies with other purposes than the protocol. In vitro tumor sensitivity to chemotherapy drugs will be tested on tumor cell cultures per each patient. Drugs and their combination will be considered effective and if they kill ≥ 60% of tumor stem cells in vitro test. By using cancer spheres the investigators will also generate orthotopic xenograft models that recapitulate the parental tumor behaviour, including the aggressive features and the invasiveness potential. Orthotopic injection technique will be assessed in 5 weeks-old NOD/SCID mice","Inclusion Criteria: * Histologically/cytologically confirmed diagnosis of metastatic LC, CRC or BC * Availability of tumor tissue suitable for CSCs extraction * Performance status of 100% according to Karnofsky score * Failure of conventional therapies or no therapy of proven efficacy * Adequate hematological, renal and liver functions * No concomitant comorbidity potentially interfering with the study * Informed consent form signature. Exclusion Criteria: * Performance status \<100% according to Karnofsky score * Patient suitable for standard therapies * Important comorbidity interfering with the study * Significant alteration of liver, hematological or renal function(s) * No informed consent form signature",23,2011-11,2013-12,Associazione Oncologia Traslazionale,"This clinical trial is testing whether it's possible to identify and target ""cancer stem cells"", a small group of cells thought to be responsible for cancer growth and progression. By studying these cells in patients with lung, colorectal, or breast cancer, researchers hope to find new ways to treat these diseases. If successful, this could lead to more effective treatments that spare healthy cells.","- You must have a confirmed diagnosis of metastatic (spread) lung, colorectal, or breast cancer.
- Your tumor tissue must be available for use in the study.
- You must have no other treatment options left and your performance status must be 100% (meaning you're able to function normally).
- You must pass basic tests to ensure your kidneys, liver, and blood cells are healthy."
NCT02030561,NK Cell Infusions With Trastuzumab for Patients With HER2+ Breast and Gastric Cancer,UNKNOWN,"PHASE1, PHASE2","Breast Cancer, Gastric Cancer",This study will determine the safety and efficacy of expanded activated autologous NK cells administered after Trastuzumab in patients with HER2-positive breast or gastric cancer. It will also provide valuable insights of the role of NK cell infusions in adult solid tumors.,"Inclusion Criteria: 1. Age 18-65 2. Histologically confirmed diagnosis of HER2-positive breast or gastric cancer (defined as IHC 3+ or HER2 FISH amplification ratio \>2.2) 3. Metastatic disease 4. Presence of measurable tumour by RECIST 1.1 criteria 5. Must have failed at least two lines of trastuzumab-containing systemic therapy (documented relapse while receiving adjuvant or neoadjuvant trastuzumab for HER2 positive breast cancer is eligible) 6. At least two weeks since receipt of any biological therapy, chemotherapy, and/or radiation therapy 7. Left ventricular ejection fraction ≥50% 8. Adequate organ function ANC ≥ 1500/µL Platelet count ≥ 100,000/µL Creatinine clearance ≥60ml/minute Total bilirubin ≤ 1.5 x upper limit normal (ULN) AST ≤ 2 x upper limit normal ALT ≤ 2 x upper limit normal 9. ECOG performance status of 0-1 10. Life expectancy of at least 60 days 11. Negative serum or urine pregnancy test result within 14 days prior to enrolment for women who are of childbearing potential 12. Ability to provide informed consent. Otherwise, a legally authorized representative (LAR) must be present throughout the consent process and is allowed to give consent on the patient's behalf. 13. Patients with reproductive potential must agree to use an approved contraceptive method 14. Ability to comply with study procedures Exclusion Criteria: 1. Treatment within the last 30 days with any investigational drug 2. Concurrent administration of any other tumor therapy, including cytotoxic chemotherapy, hormonal therapy, and immunotherapy 3. Major surgery within 28 days of study drug administration 4. Active infection that in the opinion of the investigator would compromise the patient's ability to tolerate therapy 5. Lactating or pregnant. 6. Serious concomitant disorders that would compromise the safety of the patient or compromise the patient's ability to complete the study, at the discretion of the investigator; serious cardiac illness or medical conditions including but not limited to: * Patients with dyspnea at rest. * History of documented congestive heart failure * High risk uncontrolled arrhythmias * Angina pectoris requiring a medicinal product * Clinically significant valvular disease * Evidence of transmural infarction on ECG * Poorly controlled hypertension 7. Second primary malignancy that is clinically detectable at the time of consideration for study enrolment 8. Symptomatic brain metastases 9. Receipt of steroids during time period of 3 days prior to expanded NK cell infusion to 30 days after infusion (i.e. day -3 to day +30).",29,2014-01,2018-08,"National University Hospital, Singapore",This clinical trial is testing whether infusing special immune cells called NK cells after treatment with the drug Trastuzumab can help fight breast and stomach cancers that are HER2-positive. This study aims to see if this approach can be safe and effective for patients who have already tried other treatments without success.,"- You must be between 18 and 65 years old.
- Your cancer is HER2-positive, which means it has a specific protein on the surface of its cells that Trastuzumab targets.
- You've had at least two previous treatments with Trastuzumab that didn't work."
NCT04190342,Effects of a Traditional Chinese Exercise Program on Symptom Cluster in Breast Cancer Patients,COMPLETED,NA,"Breast Neoplasm Female, Symptom Cluster, Tai ji",The Medical Research Council Framework for Developing and Evaluating Complex Interventions (MRC Framework) will be utilized to develop and evaluate an evidence-based tai chi intervention for managing the symptom cluster of fatigue-sleep disturbance-depression in breast cancer patients.,"Inclusion Criteria: 1. Female, aged 18 years old or above; 2. a confirmed diagnosis of non-metastatic stage I, II, or IIIa BC; 3. have experienced at least a moderate level of tiredness, sleep disturbance, and depressive mood, with a score of greater than 3 on a 10-point numeric rating scale, from ""0 (no symptom)"" to ""10 (worst symptom)"" for each symptom in the previous one month; 4. have recently commenced adjuvant chemotherapy; and 5. able to follow instructions in Mandarin, interested in participating in the study, and willing to sign an informed consent. Exclusion Criteria: 1. Currently using psychostimulants, antidepressant medications, or hypnotics medications; 2. extremely weak or have mental illness and/or intellectual disability; 3. have been involved in other exercise programs \> 30 minutes, three times weekly, for past 3 months; 4. have practised tai chi for the past six months; and 5. have scheduled elective surgery during the study period.",72,2020-05-04,2021-04-06,Charles Darwin University,"This clinical trial is testing whether a traditional Chinese exercise program called tai chi can help manage symptoms such as fatigue, sleep problems, and depression in breast cancer patients. The researchers want to see if this type of exercise can improve the quality of life for these patients.","- You must be a female with stage I, II, or IIIa breast cancer who has started chemotherapy.
- You need to have symptoms such as fatigue, sleep problems, and depression that are affecting your daily life.
- You should be able to speak Mandarin and follow instructions.
- You cannot currently be taking certain medications like antidepressants or hypnotics."
NCT00456846,First Line Therapy for Patients With Metastatic Breast Cancer,TERMINATED,PHASE2,Metastatic Breast Cancer,The purpose of this study is to determine the toxicity and anti-tumor activity of nab-paclitaxel 100mg/m\^2 administered weekly in a 4-week cycle as first line therapy to patients with metastatic breast cancer who received taxanes as part of their adjuvant therapy and patients who did not receive taxanes as part of their adjuvant therapy.,"Inclusion Criteria: * Females with pathologically confirmed adenocarcinoma of the breast. * No prior chemotherapy for metastatic breast cancer * At least 12 months between completion of adjuvant chemotherapy and the diagnosis of metastatic disease * Stage IV disease * Measurable disease (must be equal or greater to 2.0 cm using conventional Computed Tomography (CT) or equal or greater to 1.0 cm using spiral CT except for pulmonary lesions that are well documented on conventional CT scan which must be equal or greater than 1.0 cm) * At least 4 weeks since radiotherapy, with full recovery. The measurable disease must be completely outside the radiation portal or there must be radiologic or clinical exam proof of progressive disease within the radiation portal * At least 4 weeks since major surgery, with full recovery * Eastern Cooperative Oncology Group (ECOG) performance status 0-2 * Age equal or greater to 18 * Patients has the following blood counts at Baseline: * Absolute Neutrophil Count (ANC) equal or greater to 1.5 x 10\^9 cells/L * Platelets equal or greater to 100 x 10\^9 cells/L * Hemoglobin (Hgb) equal or greater to 90 grams/L * Patients has the following blood chemistry levels at Baseline: * Aspartate aminotransferase (AST) Serum glutamic-oxaloacetic transaminase (SGOT), alanine aminotransferase (ALT) serum glutamic:pyruvic transaminase (SGPT)less than or equal to 2.5x upper limit of normal range (ULN); * total bilirubin normal (unless bilirubin elevation is due to Gilbert's (Disease); * alkaline phosphatase less than or equal 2.5x ULN (unless bone metastasis is present in the absence of liver metastasis); * Creatinine less than or equal to 1.5mg/dL * Current sensory neuropathy Grade 0 or 1 by Breast Cancer Index (BCI) Common Toxicity Criteria Adverse Events (CTCAE) * If female of childbearing potential, pregnancy test is negative (within 72 hours of the first dose of study drug). * If fertile, the patient agrees to use an effective method of contraception to avoid pregnancy for the duration of the study * Patient is able to supply unstained slides or 1 tumor block of her primary breast tumor or a biopsy of a current site of metastasis for Secreted protein acidic and rich in cysteine (SPARC) analysis * Informed consent has been obtained Exclusion Criteria: * Concurrent immunotherapy or hormonal therapy (other than Herceptin) for breast cancer * Parenchymal brain metastases, unless documented to be clinically and radiographically stable for at least 6 months after treatment * Serious intercurrent medical or psychiatric illness, including serious active infection * History of class II-IV congestive heart failure * History of other malignancy within the last 5 years which could affect the diagnoses or assessment of breast cancer, with the exception of basal or squamous cell carcinoma of the skin or carcinoma in situ of the cervix * Patients who have received an investigational drug within the previous 3 weeks * Patient is currently enrolled in a different clinical study in which investigational procedures are performed or investigational therapies are administered. Also a patient may not enroll in such clinical trials while participating in this study. * Pregnant or nursing women * Patients with prior hypersensitivity to Taxol or Taxotere",123,2008-02-01,2013-05-31,Celgene,This clinical trial is testing whether a new combination of treatments (nab-paclitaxel) can be an effective first treatment for women with metastatic breast cancer who have already received other types of chemotherapy. The goal is to see if this treatment can shrink tumors and improve quality of life without too many side effects.,"- You must be a woman with stage IV (metastatic) breast cancer that has not been treated with chemotherapy for this condition before.
- Your cancer must have spread to other parts of the body, but you must still have measurable tumors that can be tracked during the study.
- You cannot be currently taking hormonal therapy or immunotherapy for breast cancer, and your brain metastases (if present) must be stable."
NCT04890327,Web-based Family History Tool,COMPLETED,NA,"Gynecologic Cancer, Breast Cancer, BRCA1 Mutation, BRCA2 Mutation","The purpose of this pilot study is to determine if a web-based tool that collects family health history is useful for patients being seen in a gynecologic oncology office setting. This research study is being done because collecting a comprehensive family health history is critical as it allows physicians to appropriately refer patients for genetic counseling and genetic testing. However, prior research indicates that the family health history collected in clinical settings is often inadequate to truly assess the risk of genetic disease. Therefore we plan to explore a web-based program that guides patients through the collection of their family health history and uses this information to create clear concise pedigrees (family tree information) and risk assessment models that can be used by a physician during the office visit.","Inclusion Criteria: Female \> 18 years of age. Scheduled for new patient visit with one of the gynecologic oncologists at Weill Cornell Medicine (Melissa Frey MD, Kevin Holcomb MD, Evelyn Cantillo MD, Eloise Chapman MD). Exclusion Criteria: Subjects who cannot communicate in English as the FHH collection tool and surveys are available only in English. Subjects who were adopted and have no information about their family health history. Subjects who do not present for the new patient visit.",250,2019-09-09,2022-12-31,Weill Medical College of Cornell University,"This clinical trial is testing whether an online tool can help patients and doctors collect accurate family health history information. The goal is to create a clear picture of a patient's risk for certain cancers, like breast or gynecologic cancer, which can help doctors make better decisions about care.","- You must be a female over 18 years old.
- You need to be scheduled for a new patient visit with one of the listed gynecologic oncologists at Weill Cornell Medicine.
- You should be able to communicate in English because the tool and surveys are only available in that language.
- If you were adopted or don't know your family history, you may not be eligible."
NCT00089661,AMG 162 in the Treatment of Bone Loss in Subjects Undergoing Aromatase Inhibitor Therapy for Non-metastatic Breast Cancer,COMPLETED,PHASE3,"Breast Cancer, Low Bone Mineral Density, Osteopenia",The purpose of this trial is to evaluate AMG 162 in the treatment of bone loss in subjects undergoing Aromatase Inhibitor Therapy for Non-metastatic Breast Cancer.,"* Histologically or cytologically confirmed adenocarcinoma of the breast * Subjects with early stage disease who are estrogen receptor positive and who have completed their treatment pathway (surgery, chemo-therapy, radiation, and/or hormone therapy) and are currently on or will initiate aromatase inhibitor therapy, and are expected to stay on aromatase inhibitor therapy for the duration of the 24-month study * All treatment pathway must be completed ≥ 4 weeks prior to study entry, and all acute toxic effect of any above therapy must be resolved to ≤ Grade 1 by National Cancer Institution (NCI) Common Terminology Criteria for Adverse Events (CTCAE) * Female \> 18 years of age * ECOG Performance status 0 and 1 * Lumbar spine, total hip or femoral neck BMD equivalent to a t-score classification of -1.0 to -2.5 * Subject is willing and able to provide signed consent before any study-specific procedure Other criteria also apply.",252,2004-10-01,2009-05-27,Amgen,"This clinical trial is testing the effectiveness of a new treatment (AMG 162) to prevent bone loss in women with early-stage breast cancer who are taking hormone therapy. These patients often experience bone density loss as a side effect of their treatment, which can increase their risk of fractures and osteoporosis. By evaluating this treatment, researchers hope to improve the health outcomes for these patients.","- You have been diagnosed with non-metastatic breast cancer (cancer that has not spread) and are taking hormone therapy.
- Your bone density is low, but not so low that it's considered osteoporosis.
- You must be at least 18 years old and able to give informed consent for the trial.
- All previous treatments for your breast cancer should have been completed at least 4 weeks before joining the study.
- You're expected to continue taking hormone therapy for the full 24 months of the trial."
NCT05938686,Home_Based Digital Mindful Dance Program for Breast Cancer Cases,UNKNOWN,NA,"Breast Cancer, Quality of Life","During COVID-19, telecare replaces face-to-face contact to maintain social distance and reduce the spread of the virus. The current epidemic is coming to the end. However, for breast cancer cases, no matter in the treatment or survival stage, they face physical and mental symptoms, such as ""social isolation"", which affects their quality of life. Studies have shown that mindfulness and dance can help breast cancer cases improve depression and quality of life, but most of them are conducted face-to-face. Online mindful/dance helped breast cancer cases without the limitations of the time, space, distance, and treatment status, but lacking enough evidence. The purpose of this study will to design a ""home based digital mindful dance program"" suitable for our breast cancer cases, and conduct clinical trial on its feasibility, mind and body awareness, and quality of life. Finally, through in-depth interviews, we will understand the subjective experience of breast cancer cases on the program. The research results are expected to provide an empirical reference for multi-care for breast cancer to our country and abroad.",Inclusion Criteria: * breast cancer with any stage and any treatment status Exclusion Criteria: * mental illness,104,2023-07-01,2024-12-30,National Yang Ming Chiao Tung University,"This clinical trial is testing the effectiveness of a digital mindful dance program for women with breast cancer. The goal is to improve their quality of life and reduce symptoms like social isolation, depression, and physical discomfort. The study aims to create an online program that can be easily accessed from home.","- You must have been diagnosed with breast cancer at any stage.
- There are no restrictions based on your treatment status (e.g., you're in the middle of treatment or finished).
- You cannot have a pre-existing mental illness."
NCT04296370,A Study of Fluzoparib±Apatinib Versus Chemotherapy Treatment of Physician's Choice in HER2-negative Metastatic Breast Cancer Patients With Germline BRCA Mutation,UNKNOWN,PHASE3,Treatment in HER2-negative Metastatic Breast Cancer Patients With Germline BRCA Mutation,"This is a multicenter, randomized, open-label, 3-arm Phase 3 study to evaluate the efficacy and safety of Fluzoparib alone or with Apatinib versus Physicians Choice Chemotherapy, as treatment, in patients with a Germline BRCA Mutation and HER2-negative Metastatic Breast Cancer. The study contains a Safety Lead-in Phase in which the safety and tolerability of Fluzoparib+Apatinib will be assessed prior to the Phase 3 portion of the study.","Inclusion Criteria: * （Saftey Lead-in + phase 3）Germline mutation in BRCA1 or BRCA2 that is predicted to be deleterious or suspected deleterious * （Saftey Lead-in + phase 3）human epidermal growth factor receptor type 2 (HER2)-negative metastatic breast cancer * （Saftey Lead-in + phase 3）had received ≤2 lines of chemotherapy for mBC * （Saftey Lead-in + phase 3）Prior therapy with an anthracycline and a taxane in either an adjuvant or metastatic setting. * ER/PR breast cancer positive patients must have received and progressed on at least one endocrine therapy (adjuvant or metastatic), or have disease that the treating physician believes to be inappropriate for endocrine therapy. * ECOG performance status 0-1. * Adequate bone marrow, kidney and liver function. Exclusion Criteria: * Prior treatment with a poly (ADP-ribose) polymerase (PARP) inhibitor or Apatinib * Prior malignancy unless curatively treated and disease-free for \> 5 years prior to study entry. Prior adequately treated non-melanoma skin cancer, in situ cancer of the cervix, DCIS or stage I grade 1 endometrial cancer allowed * Radiation or anti-hormonal therapy or other targeted anticancer therapy within 14 days before randomization * Known to be human immunodeficiency virus positive * Known active hepatitis C virus, or known active hepatitis B virus * Untreated and/or uncontrolled brain metastases * Pregnant or breast-feeding women",474,2020-07-13,2025-06-30,"Jiangsu HengRui Medicine Co., Ltd.",This clinical trial is testing whether a new combination of two drugs (Fluzoparib and Apatinib) can be more effective than traditional chemotherapy for treating breast cancer in people who have a specific genetic mutation. The trial aims to see if this combination improves survival rates and reduces side effects compared to standard treatment.,"- You must have a ""germline"" BRCA1 or BRCA2 mutation, which means you inherited the mutation from your parents.
- Your breast cancer must not be related to the HER2 protein, and it's advanced (metastatic) meaning it has spread to other parts of the body.
- You can only be in this trial if you've received two lines of chemotherapy or less for metastatic breast cancer."
NCT06331169,Anlotinib With Trastuzumab Deruxtecan for Previously Treated HER2-Low Advanced Breast Cancer,RECRUITING,PHASE1,Breast Cancer,"This study will evaluate the safety, tolerability and efficacy of anlotinib and trastuzumab deruxtecan in human epidermal growth factor receptor 2 (HER2)-low unresectable and/or metastatic breast cancer who had received ≤1 line of prior chemotherapy.","Inclusion Criteria: * 1\. Age 18 - 75 years; ECOG PS 0 or 1. 2. Pathologically documented breast cancer that: 1. Is unresectable or metastatic. 2. Has a history of low HER2 expression (IHC 1+\& IHC 2+/ISH- or 0\<IHC\<1+). 3. Is HR-positive or HR-negative. 4. Has progressed on, and would no longer benefit from, endocrine therapy. 5. Has been treated with ≥1 prior lines of chemotherapy/adjuvant in the recurrent or metastatic setting. 3\. At least 1 measurable lesion per Response Evaluation Criteria in Solid Tumors version 1.1（Previously treated lesions with radiotherapy or focal therapy and no progression cannot be included as target lesion for assessment）. 4\. Has protocol-defined adequate bone marrow, renal, hepatic and blood clotting functions. 5\. Male and female subjects of reproductive/childbearing potential must agree to use a highly effective form of contraception or avoid intercourse during and upon completion of the study and after the last dose for at least 6 months. Exclusion Criteria: 1. Has previously been treated with anti-angiogenic targeted small molecule therapy. 2. Prior treatment with antibody drug conjugate with a topoisomerase I inhibitor exatecan derivative. 3. Has a history of (noninfectious) ILD/pneumonitis that required steroids, has current ILD/pneumonitis, or where suspected ILD/pneumonitis cannot be ruled out by imaging at screening. 4. Has unresolved toxicities from previous anticancer therapy. 5. Has uncontrolled or significant cardiovascular disease. 6. Has any bleeding event, unhealed wounds, ulcerative or fractures. 7. Has arterial or venous thromboembolic events occurred within 6 months. 8. Has spinal cord compression or clinically active central nervous system metastases. 9. Has any other condition that per protocol or in the opinion of the investigator is inappropriate for the study.",42,2024-07-31,2027-06-30,Fudan University,"** This clinical trial is testing a new combination treatment for advanced breast cancer that doesn't have high levels of the HER2 protein. The treatment combines two existing medications, anlotinib and trastuzumab deruxtecan, to see if they can slow or stop the growth of tumors in patients who have already tried other treatments. This trial aims to evaluate how safe and effective this combination is for people with advanced breast cancer.

**","**

* You must be between 18 and 75 years old to participate.
* Your breast cancer must be advanced (spread beyond the initial tumor site) or unable to be surgically removed, and you must have a low level of HER2 protein in your tumors.
* You can't have any serious heart problems or conditions that affect blood clotting."
NCT07367269,"Effect of Mandala Coloring on Anxiety, Distress, and Comfort in Breast Cancer Patients Receiving Outpatient Chemotherapy",RECRUITING,NA,Breast Cancer,"Breast cancer patients receiving chemotherapy often experience psychological distress, anxiety, and discomfort during treatment. Non-drug supportive methods may help improve patients' well-being during chemotherapy. This study aims to evaluate whether mandala coloring during outpatient chemotherapy can reduce psychological distress and anxiety and improve comfort in breast cancer patients. Participants will be randomly assigned to either a mandala coloring group or a routine care group. Patients in the intervention group will color mandala patterns for 30 minutes during their chemotherapy session, while the control group will receive routine care only. Psychological distress, anxiety, and comfort levels will be measured before and after the chemotherapy session in both groups. The results of this study may provide evidence for a simple and low-cost supportive intervention to improve the psychological well-being of breast cancer patients during chemotherapy.",Inclusion Criteria: * Being 18 years of age or older * Having a diagnosis of breast cancer and receiving chemotherapy * Having no communication problems * Having no physical disability that would prevent mandala coloring * Being willing to participate in the study Exclusion Criteria: * not meeting inclusion criteria,60,2026-01-27,2027-01-20,Artvin Coruh University,"This clinical trial is testing whether coloring mandalas can help reduce anxiety and distress in breast cancer patients receiving chemotherapy. The researchers want to know if this simple activity can improve patients' comfort levels during treatment. If the results are positive, it could provide a low-cost way to support patients' mental well-being.","- You must be at least 18 years old.
- You have been diagnosed with breast cancer and are currently receiving chemotherapy.
- You do not have any physical disabilities that would make it hard for you to color mandalas.
- You are able to communicate effectively."
